公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,Python大数据工程师,1-3年,本科,10k-15k,"大公司平台,全面福利,特色文化,行业领先",社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
威讯柏睿数据科技（北京）有限公司,柏睿数据,50-150人,B轮,海珠区,Python开发工程师,3-5年,本科,13k-25k,大数据 多绩效,"数据服务,信息安全",开发|测试|运维类,"['股票期权', '专项奖金', '带薪年假', '弹性工作']",后端开发,广州
北京棕榈创想科技有限公司,PALMAX,150-500人,A轮,高新区,python开发工程师,3-5年,本科,10k-20k,五险一金 试用期全薪 餐补 14薪,移动互联网,开发|测试|运维类,"['绩效奖金', '交通补助', '定期体检', '午餐补助']",后端开发,成都
上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,海淀区,Python开发工程师,1-3年,本科,10k-15k,五险一金 带薪年假 技术大牛 氛围好,"企业服务,移动互联网",开发|测试|运维类,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",后端开发,北京
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,海淀区,python开发工程师,3-5年,本科,15k-25k,"技术大牛,团队氛围好,高成长",金融,开发|测试|运维类,"['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']",后端开发,北京
苏州极光无限信息技术有限公司,极光无限,15-50人,不需要融资,工业园区,Python开发工程师,3-5年,大专,10k-20k,薪资待遇优越、五险一金、年终奖,信息安全,开发|测试|运维类,[],后端开发,苏州
上海道客网络科技有限公司,DAOCLOUD,150-500人,B轮,杨浦区,python开发工程师,3-5年,本科,15k-20k,五险一金、补充医疗险、年终奖金,"企业服务,数据服务",开发|测试|运维类,"['工程师文化', '业界大牛', '改变世界', '豪华团队']",后端开发,上海
上海道客网络科技有限公司,DAOCLOUD,150-500人,B轮,锦江区,python开发工程师,1-3年,本科,15k-25k,五险一金、做五休二、年终奖金,"企业服务,数据服务",开发|测试|运维类,"['工程师文化', '业界大牛', '改变世界', '豪华团队']",后端开发,成都
苏州博纳讯动软件有限公司,博云,150-500人,B轮,浦东新区,python开发工程师,3-5年,本科,15k-20k,六险一金，年度旅游体检，补助，带薪培训,"移动互联网,企业服务",开发|测试|运维类,"['凝聚力强', '客户群广', '发展迅速', '团队年轻']",后端开发,上海
北京极睿科技有限责任公司,北京极睿科技有限责任公司,15-50人,A轮,海淀区,python开发工程师,3-5年,本科,20k-40k,清华团队，技术大牛，明星资本，,"移动互联网,数据服务",开发|测试|运维类,"['年底双薪', '股票期权', '弹性工作', '扁平管理']",后端开发,北京
特赞（上海）信息科技有限公司,特赞|Tezign,150-500人,B轮,黄浦区,Python开发工程师,3-5年,本科,20k-30k,大牛云集 培训机会 优厚福利 晋升机制,移动互联网,开发|测试|运维类,"['技能培训', '扁平管理', '弹性工作', '全员持股']",后端开发,上海
上海道客网络科技有限公司,DAOCLOUD,150-500人,B轮,锦江区,python开发工程师,1-3年,本科,15k-25k,五险一金、做五休二、年终奖金,"企业服务,数据服务",开发|测试|运维类,"['工程师文化', '业界大牛', '改变世界', '豪华团队']",后端开发,成都
苏州博纳讯动软件有限公司,博云,150-500人,B轮,浦东新区,python开发工程师,3-5年,本科,15k-20k,六险一金，年度旅游体检，补助，带薪培训,"移动互联网,企业服务",开发|测试|运维类,"['凝聚力强', '客户群广', '发展迅速', '团队年轻']",后端开发,上海
北京极睿科技有限责任公司,北京极睿科技有限责任公司,15-50人,A轮,海淀区,python开发工程师,3-5年,本科,20k-40k,清华团队，技术大牛，明星资本，,"移动互联网,数据服务",开发|测试|运维类,"['年底双薪', '股票期权', '弹性工作', '扁平管理']",后端开发,北京
特赞（上海）信息科技有限公司,特赞|Tezign,150-500人,B轮,黄浦区,Python开发工程师,3-5年,本科,20k-30k,大牛云集 培训机会 优厚福利 晋升机制,移动互联网,开发|测试|运维类,"['技能培训', '扁平管理', '弹性工作', '全员持股']",后端开发,上海
小叶子（北京）科技有限公司,小叶子The ONE,150-500人,C轮,朝阳区,Python开发工程师,3-5年,本科,20k-30k,"五险一金,交通补助,午晚餐","硬件,教育",开发|测试|运维类,"['优秀团队', '技术大牛多', '五险一金', '弹性工作']",后端开发,北京
智言科技(深圳)有限公司,智言科技,50-150人,B轮,南山区,Python开发工程师,3-5年,本科,10k-20k,"海归团队,薪酬福利好,扁平管理","数据服务,其他",开发|测试|运维类,"['年底双薪', '绩效奖金', '通讯津贴', '扁平管理']",后端开发,深圳
深圳市微赢世纪网络科技有限公司,微赢世纪,15-50人,天使轮,南山区,python开发工程师,3-5年,本科,15k-30k,连续创业者领衔自由工作气氛,"人工智能,工具",开发|测试|运维类,"['大牛带队', '技能培训', '股票期权', '扁平管理']",后端开发,深圳
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,郫县,Python开发工程师,3-5年,本科,10k-15k,五险一金 餐补 员工福利 周末双休,移动互联网,开发|测试|运维类,[],后端开发,成都
贝壳找房（北京）科技有限公司,贝壳,2000人以上,D轮及以上,海淀区,Python工程师,3-5年,本科,20k-40k,免费三餐 发展空间,房产家居,开发|测试|运维类,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",后端开发,北京
深圳道乐科技有限公司,深圳道乐,150-500人,未融资,海珠区,python开发工程师,1-3年,本科,7k-10k,周末双休 需求分析 产品经验 领导好,"移动互联网,金融",开发|测试|运维类,"['年终奖励', '成长空间', '扁平管理', '美女多']",后端开发,广州
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,Python开发工程师,3-5年,本科,15k-30k,平台大，福利好，年终奖,金融,开发|测试|运维类,[],后端开发,上海
乐麦信息技术（杭州）有限公司,乐其电商,500-2000人,不需要融资,滨江区,Python开发工程师,3-5年,本科,10k-20k,五险一金，年终奖，带薪年假,电商,开发|测试|运维类,"['绩效奖金', '带薪年假', '年度旅游', '弹性工作']",后端开发,杭州
上海灏程信息科技有限公司,灏程信息,15-50人,不需要融资,闵行区,Python开发工程师,5-10年,大专,15k-30k,扁平化管理、别墅式办公环境、做五休二,"体育,软件开发",开发|测试|运维类,"['带薪年假', '弹性工作', '节日礼物', '扁平管理']",后端开发,上海
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,CSIG-C++/C/Go/python 软件开发,5-10年,本科,22k-40k,平台大，发展快，待遇好，福利棒,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
开易（北京）科技有限公司,开易科技,150-500人,B轮,开福区,python开发工程师,1-3年,本科,8k-12k,弹性工作、前沿技术、六险一金、零食茶饮,"数据服务,其他",开发|测试|运维类,"['年底双薪', '绩效奖金', '带薪年假', '股票期权']",后端开发,长沙
振帮（深圳）信息科技有限公司,Angsi昂司,500-2000人,未融资,宝安区,python开发工程师,3-5年,本科,15k-22k,发展空间大 行业独角兽,"电商,消费生活",开发|测试|运维类,"['股票期权', '定期体检', '年终分红', '带薪年假']",后端开发,深圳
江苏润和软件股份有限公司,润和软件,2000人以上,上市公司,高新技术产业开发区,Python开发工程师,1-3年,本科,8k-15k,"主动性强,学历能力",移动互联网,开发|测试|运维类,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",后端开发,西安
上海一起作业信息科技有限公司,一起教育科技,2000人以上,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,15k-30k,企业福利 平台 发展空间 团队氛围,"移动互联网,教育",开发|测试|运维类,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",后端开发,北京
深圳市金证优智科技有限公司,金证优智,50-150人,A轮,海淀区,python开发,3-5年,本科,15k-25k,"技术大牛,团队氛围好,高成长",人工智能,开发|测试|运维类,[],后端开发,北京
武汉小果科技有限公司,森果,50-150人,天使轮,江夏区,Python开发工程师,1-3年,本科,9k-15k,项目奖金，行业top，提供mac,"移动互联网,企业服务",开发|测试|运维类,"['股票期权', '弹性工作', '节日礼物', '领导好']",后端开发,武汉
成都宽邦科技有限公司,宽邦（BigQuant）,50-150人,不需要融资,高新区,python开发工程师,1-3年,本科,8k-15k,人工智能 团队优秀 前景广阔,"金融,数据服务",开发|测试|运维类,"['前沿技术', '五险一金', '股票期权', '团队优秀']",后端开发,成都
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,高新区,Python高级开发工程师,3-5年,本科,25k-50k,大平台,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,成都
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,python高级开发工程师,5-10年,本科,25k-50k,发展前景,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,CSIG-C++/C/Go/python 软件开发,5-10年,本科,22k-40k,平台大，发展快，待遇好，福利棒,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,上市公司,杨浦区,Python工程师,3-5年,本科,15k-30k,福利待遇,金融,开发|测试|运维类,"['年底双薪', '股票期权', '带薪年假', '定期体检']",后端开发,上海
上海易路软件有限公司,易路,150-500人,C轮,高新区,Python开发工程师,3-5年,大专,8k-15k,弹性工时/年轻团队/人性管理/高端客户群,"移动互联网,企业服务",开发|测试|运维类,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']",后端开发,成都
翼健（上海）信息科技有限公司,BaseBit AI 翼方健数,50-150人,B轮,长宁区,Python开发工程师,1-3年,本科,12k-20k,发展快速；晋升空间；股权激励,医疗丨健康,开发|测试|运维类,"['带薪年假', '弹性工作', '年度旅游', '节日礼物']",后端开发,上海
达而观信息科技（上海）有限公司,达观数据,150-500人,B轮,浦东新区,Python开发工程师,3-5年,本科,15k-30k,核心系统 人工智能 专业培训 前沿技术,人工智能,开发|测试|运维类,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",后端开发,上海
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,滨江区,Python工程师,3-5年,本科,10k-15k,周末双休弹性工时丰富团建活动领导nice,移动互联网,开发|测试|运维类,[],后端开发,杭州
北京向上一心科技有限公司,老虎集团,500-2000人,上市公司,朝阳区,python开发工程师,3-5年,本科,20k-40k,"加班少,福利好","移动互联网,金融",开发|测试|运维类,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",后端开发,北京
达而观信息科技（上海）有限公司,达观数据,150-500人,B轮,浦东新区,Python开发工程师,3-5年,本科,15k-30k,核心系统 人工智能 专业培训 前沿技术,人工智能,开发|测试|运维类,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",后端开发,上海
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,滨江区,Python工程师,3-5年,本科,10k-15k,周末双休弹性工时丰富团建活动领导nice,移动互联网,开发|测试|运维类,[],后端开发,杭州
北京向上一心科技有限公司,老虎集团,500-2000人,上市公司,朝阳区,python开发工程师,3-5年,本科,20k-40k,"加班少,福利好","移动互联网,金融",开发|测试|运维类,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",后端开发,北京
北京猎户星空科技有限公司,猎户星空,500-2000人,B轮,朝阳区,Python开发工程师,3-5年,本科,18k-35k,高速发展，潜力无限,"移动互联网,硬件",开发|测试|运维类,"['年度旅游', '弹性工作', '领导好', '五险一金']",后端开发,北京
上海脉策数据科技有限公司,脉策数据,50-150人,A轮,杨浦区,python开发工程师,1-3年,本科,14k-18k,"弹性工作,薪酬福利好,技术驱动,大牛互助","数据服务,企业服务",开发|测试|运维类,"['年底双薪', '股票期权', '午餐补助', '定期体检']",后端开发,上海
北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,python开发工程师,3-5年,本科,15k-20k,跟技术大牛一起遨游，下午茶零食,企业服务,开发|测试|运维类,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']",后端开发,北京
深圳市和讯华谷信息技术有限公司,极光,500-2000人,上市公司,南山区,python开发,5-10年,本科,20k-40k,上市公司、技术氛围好、弹性工作制,企业服务,开发|测试|运维类,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",后端开发,深圳
TCL实业控股股份有限公司,TCL,2000人以上,上市公司,浦东新区,PYTHON开发工程师,不限,本科,13k-25k,发展前景 福利待遇 空间巨大,"移动互联网,其他",开发|测试|运维类,"['年底双薪', '带薪年假', '定期体检', '绩效奖金']",后端开发,上海
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,IEG-python后台开发工程师,3-5年,本科,25k-50k,发展前景好，行业趋势，公司平台和资源,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,西湖区,python工程师（偏NLP方向）,3-5年,本科,15k-30k,发展前景好,"移动互联网,硬件",开发|测试|运维类,"['5星办公环境', '年底奖金', '团队牛B', '五险一金']",后端开发,杭州
华扬联众数字技术股份有限公司,华扬联众数字技术股份有限公司,2000人以上,上市公司,鼓楼区,Python开发工程师,1-3年,本科,8k-16k,上市公司，扁平管理,"移动互联网,广告营销",开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",后端开发,南京
北京中睿天下信息技术有限公司,中睿天下,150-500人,A轮,海淀区,Python开发工程师,不限,大专,6k-8k,"福利好,环境好,人员好相处,领导好相处","信息安全,其他",开发|测试|运维类,"['股票期权', '带薪年假', '年度旅游', '扁平管理']",后端开发,北京
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,【暑期实习生】Python开发实习生,应届毕业生,本科,4k-6k,餐费补助 打车补助,社交,开发|测试|运维类,"['岗位晋升', '帅哥多', '管理规范', '技能培训']",后端开发,北京
上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,海淀区,python开发工程师,1-3年,本科,12k-14k,大厂经验 食堂,"企业服务,移动互联网",开发|测试|运维类,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",后端开发,北京
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,海淀区,微视视频理解算法go/python后台开发（北京）,3-5年,本科,25k-50k,大平台 新业务,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,北京
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,20k-35k,免费午餐 免费健身房 成长空间大,"移动互联网,金融",开发|测试|运维类,"['13~15薪', '晋升空间大', '定期体检', '能力定薪']",后端开发,北京
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,python开发实习生,不限,不限,4k-6k,技术挑战，晋升空间,社交,开发|测试|运维类,"['岗位晋升', '帅哥多', '管理规范', '技能培训']",后端开发,北京
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,IEG-python后台开发工程师,3-5年,本科,25k-50k,发展前景好，行业趋势，公司平台和资源,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
华为技术有限公司,华为技术有限公司,2000人以上,不需要融资,龙岗区,python开发,3-5年,本科,15k-30k,能力提升空间大 加班补贴 班车 年终奖,通讯电子,开发|测试|运维类,"['福利完善', '国际化平台', '定期体检', '绩效奖金']",后端开发,深圳
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,南山区,后端开发工程师,不限,本科,25k-50k,"六险一金,餐补",文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,深圳
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,后端开发工程师,3-5年,本科,20k-40k,六险一金，弹性工作，免费三餐，租房补贴,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,北京
上海大智慧股份有限公司,大智慧,500-2000人,上市公司,浦东新区,Python开发工程师,1-3年,大专,10k-20k,福利待遇、发展前景,"移动互联网,金融",开发|测试|运维类,"['五险一金', '绩效奖金', '午餐补助', '定期体检']",后端开发,上海
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,数据分析平台开发工程师（Python）,3-5年,本科,20k-40k,"大数据,数据分析,BI,知识图谱",社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
普华永道信息技术（上海）有限公司,PwC,500-2000人,未融资,浦东新区,python开发工程师,3-5年,本科,13k-22k,年底双薪、带薪年假、免费班车、福利补贴,"移动互联网,金融",开发|测试|运维类,"['年底双薪', '交通补助', '绩效奖金', '午餐补助']",后端开发,上海
奇虎360科技有限公司,360,2000人以上,上市公司,朝阳区,后端开发工程师,3-5年,本科,25k-40k,360安全、国际视野,信息安全,开发|测试|运维类,"['专项奖金', '年底双薪']",后端开发,北京
深圳市客路网络科技有限公司,KLOOK 客路旅行,500-2000人,D轮及以上,福田区,后端开发工程师,3-5年,本科,15k-25k,业务快速发展，工作极具挑战性,旅游,开发|测试|运维类,"['扁平管理', '国际化团队', '旅游基金', '定期体检']",后端开发,深圳
北京易捷思达科技发展有限公司,EasyStack,150-500人,D轮及以上,海淀区,Python开发工程师,1-3年,本科,15k-25k,D轮融资，发展前景好，老板Nice,数据服务,开发|测试|运维类,"['股票期权', '五险一金', '弹性工作', '节日礼物']",后端开发,北京
深圳市橙智科技有限公司,橙智科技,50-150人,不需要融资,南山区,python开发工程师,1-3年,本科,15k-30k,能源互联网独角兽，高速发展，业绩分红,移动互联网,开发|测试|运维类,"['股票期权', '专项奖金', '绩效奖金', '通讯津贴']",后端开发,深圳
北京势在必行网络科技有限公司,币信,50-150人,不需要融资,朝阳区,python开发工程师,5-10年,本科,25k-50k,弹性工作 免费午晚餐 13-16薪,移动互联网,开发|测试|运维类,"['带薪年假', '午餐补助', '定期体检', '弹性工作']",后端开发,北京
上海易宝软件有限公司南京分公司,上海易宝,150-500人,未融资,滨江区,python开发,3-5年,本科,12k-23k,五险一金、周末双休、餐补,移动互联网,开发|测试|运维类,"['绩效奖金 ', '专项奖金 ', '五险一金 ', '交通补助 ']",后端开发,杭州
上海易宝软件有限公司南京分公司,上海易宝,150-500人,未融资,滨江区,python开发,3-5年,本科,12k-23k,五险一金、周末双休、餐补,移动互联网,开发|测试|运维类,"['绩效奖金 ', '专项奖金 ', '五险一金 ', '交通补助 ']",后端开发,杭州
上海宏路数据技术股份有限公司,Hypers,50-150人,上市公司,虹口区,Python开发工程师,不限,不限,7k-14k,扁平化 成长快 氛围好,移动互联网,开发|测试|运维类,"['绩效奖金', '五险一金', '带薪年假', '年度旅游']",后端开发,上海
北京墨云科技有限公司,墨云科技,50-150人,B轮,海淀区,python开发工程师,3-5年,本科,20k-40k,股票期权、弹性工作,信息安全,开发|测试|运维类,"['股票期权', '弹性工作', '五险一金', '午餐交通补助']",后端开发,北京
武汉乐谷在线科技有限公司,乐谷游戏,50-150人,A轮,洪山区,Python开发工程师,1-3年,大专,6k-12k,奖金体系 项目奖金,游戏,开发|测试|运维类,"['专项奖金', '带薪年假', '弹性工作', '年度旅游']",后端开发,武汉
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限责任公司,2000人以上,不需要融资,雁塔区,python开发工程师,1-3年,本科,7k-14k,六险一金，项目奖金，弹性工作，年度体检,移动互联网,开发|测试|运维类,"['带薪年假', '计算机软件', '管理规范', '定期体检']",后端开发,西安
武汉市星商电子商务有限公司,星商电子商务,500-2000人,C轮,洪山区,python开发工程师,3-5年,本科,8k-15k,五险一金 年终奖金,电商,开发|测试|运维类,"['绩效奖金', '带薪年假', '年度旅游', '节日礼物']",后端开发,武汉
武汉市星商电子商务有限公司,星商电子商务,500-2000人,C轮,洪山区,Python开发工程师,3-5年,本科,10k-15k,五险一金 年终奖金,电商,开发|测试|运维类,"['绩效奖金', '带薪年假', '年度旅游', '节日礼物']",后端开发,武汉
珠海市魅族科技有限公司,魅族,2000人以上,A轮,香洲区,Python开发工程师,3-5年,本科,15k-28k,大平台,"移动互联网,硬件",开发|测试|运维类,"['股票期权', '免费班车', '带薪年假', '年度旅游']",后端开发,珠海
颐月信息技术（北京）有限公司,BABEL 贝宝,50-150人,A轮,朝阳区,python开发工程师,3-5年,本科,20k-30k,"技术挑战,发展空间,扁平化","金融,数据服务",开发|测试|运维类,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",后端开发,北京
北京影谱科技股份有限公司,影谱科技,50-150人,上市公司,东城区,python开发工程师,3-5年,本科,15k-30k,七险一金，完善福利体系，领导nice，,"文娱丨内容,广告营销",开发|测试|运维类,"['年度旅游', '定期休假', '七险一金', '午餐补助']",后端开发,北京
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,后端开发工程师,3-5年,本科,20k-40k,平台大，福利好,文娱丨内容,开发|测试|运维类,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",后端开发,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,南山区,后端开发工程师,不限,本科,25k-50k,"六险一金,餐补",文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,深圳
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python后端高级开发工程师-抖音/火山,1-3年,本科,20k-40k,六险一金,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,北京
北京高梓行远科技有限公司,Lespark,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,13k-25k,"六险一金,期权,免费午晚餐,国内外团建","移动互联网,社交",开发|测试|运维类,"['节日礼物', '专项奖金', '带薪年假', '岗位晋升']",后端开发,北京
上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,杨浦区,Python开发工程师,3-5年,本科,15k-30k,平台好 待遇好,"企业服务,移动互联网",开发|测试|运维类,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",后端开发,上海
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,Python/Go研发工程师,应届毕业生,本科,10k-15k,大数据人工智能企业、发展前景可观,"数据服务,企业服务",开发|测试|运维类,"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",后端开发,北京
红帽软件（北京）有限公司,"Red Hat, 红帽软件",500-2000人,上市公司,海淀区,Python开发工程师,3-5年,本科,17k-25k,开源项目，流程规范，技术大牛，国际团队,"企业服务,数据服务",开发|测试|运维类,"['上市外企', '技术大牛', '开源先驱', '带薪年假']",后端开发,北京
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,Python助教,1-3年,大专,5k-10k,五险一金、带薪年假、下午茶、大牛团队,"移动互联网,教育",开发|测试|运维类,"['节日礼物', '技能培训', '节日礼品卡', '月度团建']",后端开发,北京
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,福田区,Python后端开发工程师,3-5年,本科,15k-30k,上市公司 前景佳 氛围好 牛人多,"数据服务,企业服务",开发|测试|运维类,"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",后端开发,深圳
郑州创恒实业有限公司,郑州创恒实业有限公司,150-500人,未融资,金水区,Python开发工程师,1-3年,本科,5k-10k,"周末双休,年底双薪,全勤奖,外出旅游",移动互联网,开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",后端开发,郑州
行云智能（深圳）技术有限公司,行云智能,15-50人,天使轮,南山区,Python开发工程师,1-3年,本科,10k-20k,"扁平化管理,周末双休,年终奖,发展空间大","移动互联网,硬件",开发|测试|运维类,"['年终分红', '绩效奖金', '专项奖金', '带薪年假']",后端开发,深圳
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,python讲师,3-5年,大专,15k-30k,行业翘楚、团队优秀、待遇open,"移动互联网,教育",教育|培训,"['节日礼物', '技能培训', '节日礼品卡', '月度团建']",教师,北京
嘉实基金管理有限公司,嘉实基金,500-2000人,不需要融资,东城区,python开发工程师,不限,本科,13k-19k,职业发展前景广阔,"金融,人工智能",开发|测试|运维类,"['五险一金', '带薪年假', '定期体检', '扁平管理']",后端开发,北京
北京高思博乐教育科技股份有限公司,爱学习教育集团,2000人以上,上市公司,海淀区,测试开发工程师（python）,1-3年,本科,15k-30k,六险一金 发展空间大,"教育,移动互联网",开发|测试|运维类,"['带薪年假', '专项奖金', '六险一金', '餐饮补贴']",测试,北京
网易（杭州）网络有限公司,网易,2000人以上,上市公司,天河区,python服务端开发工程师,不限,本科,15k-30k,16薪，项目奖金,电商,开发|测试|运维类,"['节日礼物', '技能培训', '免费班车', '带薪年假']",后端开发,广州
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,龙华新区,python后端,3-5年,本科,16k-32k,薪资高,移动互联网,开发|测试|运维类,[],后端开发,深圳
杭州慧川智能科技有限公司,慧川智能 (Hunch.AI),15-50人,A轮,西湖区,高级python,5-10年,大专,20k-40k,弹性工作，工作氛围环境好,移动互联网,开发|测试|运维类,"['年度旅游', '帅哥多', '美女多', '五险一金']",后端开发,杭州
杭州飞享数据技术有限公司,飞享数据,15-50人,A轮,滨江区,python开发工程师,3-5年,本科,13k-26k,发展空间大，领导NICE，企业氛围好,"移动互联网,数据服务",开发|测试|运维类,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",后端开发,杭州
成都青觉科技有限公司,青觉科技,少于15人,不需要融资,高新区,Python开发工程师,3-5年,本科,10k-15k,周末双休，无加班，办公环境好，氛围好。,"金融,软件开发",开发|测试|运维类,[],后端开发,成都
乐元素科技（北京）股份有限公司,乐元素游戏,500-2000人,不需要融资,海淀区,测试开发工程师（python）,3-5年,本科,18k-28k,弹性工作时间，免费早餐下午茶,"移动互联网,游戏",开发|测试|运维类,"['技能培训', '领导好', '节日礼物']",测试,北京
杭州飞享数据技术有限公司,飞享数据,15-50人,A轮,滨江区,python开发工程师,3-5年,本科,13k-26k,发展空间大，领导NICE，企业氛围好,"移动互联网,数据服务",开发|测试|运维类,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",后端开发,杭州
成都青觉科技有限公司,青觉科技,少于15人,不需要融资,高新区,Python开发工程师,3-5年,本科,10k-15k,周末双休，无加班，办公环境好，氛围好。,"金融,软件开发",开发|测试|运维类,[],后端开发,成都
乐元素科技（北京）股份有限公司,乐元素游戏,500-2000人,不需要融资,海淀区,测试开发工程师（python）,3-5年,本科,18k-28k,弹性工作时间，免费早餐下午茶,"移动互联网,游戏",开发|测试|运维类,"['技能培训', '领导好', '节日礼物']",测试,北京
凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,上市公司,朝阳区,爬虫工程师（java或python）,1-3年,本科,20k-30k,发展空间大 各种补助 节日礼物,文娱丨内容,开发|测试|运维类,"['免费班车', '八险一金', '各色型男', '过节大礼包']",后端开发,北京
曜科智能科技（上海）有限公司,曜科智能,15-50人,天使轮,浦东新区,Python开发工程师,不限,本科,12k-15k,"薪资优厚,前景明朗",硬件,开发|测试|运维类,[],后端开发,上海
顺丰科技有限公司,顺丰科技有限公司,2000人以上,不需要融资,南山区,DSQ-Python后端开发工程师,3-5年,本科,18k-35k,弹性上下班；午餐补贴；五险一金；绩效奖金,"软件开发,数据服务",开发|测试|运维类,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",后端开发,深圳
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,python开发工程师,5-10年,本科,18k-36k,公司福利好，周末双休，平台稳定,金融,开发|测试|运维类,[],后端开发,上海
